               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 149,            0.035197,            0.034101,                   0,             0.91995,             0.78889,             0.88721,             0.45995,            0.039344,            0.029141,                   0,           0.0085348,           0.0085348,           0.0085348
                 150,            0.029247,            0.030467,                   0,             0.90422,             0.76667,             0.87323,             0.49464,            0.038079,            0.028179,                   0,           0.0085249,           0.0085249,           0.0085249
                 151,            0.024658,            0.024201,                   0,             0.86823,             0.83333,             0.90484,             0.48468,             0.03923,            0.029035,                   0,            0.008515,            0.008515,            0.008515
                 152,            0.030724,            0.033069,                   0,             0.83224,             0.82682,             0.84625,             0.40637,            0.043619,             0.03168,                   0,           0.0085051,           0.0085051,           0.0085051
                 153,            0.030805,             0.03676,                   0,             0.87776,             0.83333,             0.89904,             0.47738,            0.041407,            0.029976,                   0,           0.0084952,           0.0084952,           0.0084952
                 154,            0.028849,            0.029386,                   0,             0.88349,             0.86667,             0.92169,             0.49611,            0.038537,            0.028635,                   0,           0.0084853,           0.0084853,           0.0084853
                 155,              0.0277,            0.032238,                   0,             0.87531,             0.85556,             0.91264,             0.48528,            0.038105,            0.028756,                   0,           0.0084754,           0.0084754,           0.0084754
                 156,            0.031034,            0.026208,                   0,             0.83156,             0.87768,             0.88965,             0.46096,            0.041674,            0.029905,                   0,           0.0084655,           0.0084655,           0.0084655
                 157,            0.031992,            0.027829,                   0,              0.8764,             0.81111,             0.88509,              0.4242,            0.040079,            0.030279,                   0,           0.0084556,           0.0084556,           0.0084556
                 158,            0.027612,            0.029946,                   0,             0.84419,             0.84444,             0.87238,             0.42818,            0.041106,            0.031312,                   0,           0.0084457,           0.0084457,           0.0084457
                 159,            0.028654,            0.027214,                   0,             0.85178,             0.83008,             0.86735,             0.49666,            0.038394,            0.031614,                   0,           0.0084358,           0.0084358,           0.0084358
                 160,            0.035859,             0.03481,                   0,             0.87407,             0.85556,             0.90078,             0.42778,            0.041791,            0.030447,                   0,           0.0084259,           0.0084259,           0.0084259
                 161,            0.032498,            0.033585,                   0,             0.89823,             0.83333,             0.89626,             0.51246,            0.037775,            0.029597,                   0,            0.008416,            0.008416,            0.008416
                 162,            0.027509,            0.032151,                   0,             0.85394,             0.84444,             0.88976,             0.44941,            0.039791,            0.030568,                   0,           0.0084061,           0.0084061,           0.0084061
                 163,            0.031164,            0.031729,                   0,             0.86685,             0.79574,             0.82386,             0.44785,            0.040958,            0.030286,                   0,           0.0083962,           0.0083962,           0.0083962
                 164,            0.034871,            0.026015,                   0,             0.89668,             0.82222,             0.86993,             0.41312,            0.041021,            0.030788,                   0,           0.0083863,           0.0083863,           0.0083863
                 165,            0.030694,            0.033986,                   0,              0.8869,             0.81111,             0.85991,             0.46751,            0.041578,             0.02918,                   0,           0.0083764,           0.0083764,           0.0083764
                 166,            0.033792,            0.028435,                   0,             0.84463,             0.86667,             0.89323,             0.50188,            0.038266,            0.029069,                   0,           0.0083665,           0.0083665,           0.0083665
